date,open,high,low,close,adj_close,volume
2019-10-21,58.560001,58.639999,58.480000,58.619999,55.744450,2386300
2019-10-22,59.110001,59.279999,59.000000,59.080002,56.181892,4283100
2019-10-23,58.950001,59.060001,58.830002,59.020000,56.124836,2127300
2019-10-24,59.279999,59.310001,58.950001,59.049999,56.153358,2052500
2019-10-25,58.820000,59.240002,58.810001,59.150002,56.248459,2291800
2019-10-28,59.279999,59.599998,59.209999,59.540001,56.619324,1910900
2019-10-29,59.240002,59.400002,59.169998,59.299999,56.391094,1583000
2019-10-30,59.029999,59.389999,58.770000,59.389999,56.476685,2107100
2019-10-31,59.150002,59.150002,58.630001,58.930000,56.039246,2647400
2019-11-01,59.750000,60.130001,59.709999,60.090000,57.142342,3486900
2019-11-04,61.009998,61.080002,60.610001,60.650002,57.674877,5028500
2019-11-05,61.389999,61.470001,61.110001,61.380001,58.369064,4129800
2019-11-06,61.270000,61.279999,60.689999,60.759998,57.779476,6154800
2019-11-07,61.700001,61.849998,61.470001,61.509998,58.492687,2962900
2019-11-08,61.060001,61.130001,60.849998,61.099998,58.102798,3465200
2019-11-11,60.029999,60.330002,60.000000,60.279999,57.323025,1978500
2019-11-12,60.619999,60.709999,60.270000,60.279999,57.323025,2481300
2019-11-13,59.709999,59.930000,59.560001,59.730000,56.800003,3034600
2019-11-14,60.209999,60.360001,60.020000,60.340000,57.380081,3528000
2019-11-15,61.500000,61.630001,61.430000,61.540001,58.521217,2420000
2019-11-18,61.160000,61.259998,60.919998,61.130001,58.131325,2620700
2019-11-19,61.020000,61.070000,60.619999,60.730000,57.750950,2885500
2019-11-20,60.049999,60.220001,59.660000,60.029999,57.085285,4300600
2019-11-21,58.980000,59.040001,58.770000,58.950001,56.058266,2978800
2019-11-22,59.180000,59.240002,58.910000,59.009998,56.115318,1734500
2019-11-25,59.770000,60.049999,59.750000,59.970001,57.028233,3645900
2019-11-26,59.720001,60.119999,59.639999,60.009998,57.066265,2439200
2019-11-27,59.700001,59.889999,59.619999,59.820000,56.885590,2189900
2019-11-29,58.590000,58.590000,58.410000,58.470001,55.601814,1995600
2019-12-02,58.209999,58.250000,57.880001,58.099998,55.249962,3093200
2019-12-03,57.139999,57.430000,56.959999,57.430000,54.612827,3718900
2019-12-04,57.549999,57.709999,57.490002,57.540001,54.717434,3487300
2019-12-05,57.230000,57.450001,57.090000,57.349998,54.536747,2412800
2019-12-06,57.950001,58.250000,57.919998,58.130001,55.278492,2405300
2019-12-09,57.869999,57.980000,57.660000,57.700001,54.869579,1993400
2019-12-10,58.090000,58.299999,57.980000,58.230000,55.373581,2264200
2019-12-11,58.320000,59.080002,58.279999,58.939999,56.048756,5552200
2019-12-12,59.590000,61.220001,59.520000,61.029999,58.036228,7467400
2019-12-13,61.049999,61.660000,60.709999,61.180000,58.178875,4894200
2019-12-16,60.259998,60.529999,60.240002,60.310001,58.604488,2955200
2019-12-17,61.029999,61.459999,60.950001,61.369999,59.634510,5511100
2019-12-18,61.169998,61.360001,61.080002,61.360001,59.624798,4910900
2019-12-19,61.160000,61.580002,61.099998,61.529999,59.789986,2622200
2019-12-20,61.959999,62.009998,61.830002,61.919998,60.168957,2343800
2019-12-23,61.610001,61.700001,61.509998,61.680000,59.935745,3538600
2019-12-24,61.250000,61.250000,61.060001,61.209999,59.479034,1264300
2019-12-26,61.529999,61.650002,61.509998,61.599998,59.858006,999500
2019-12-27,62.549999,62.680000,62.259998,62.490002,60.722839,2352900
2019-12-30,62.560001,62.630001,61.840000,61.900002,60.149525,2547300
2019-12-31,62.090000,62.320000,61.919998,62.189999,60.431320,1292500
2020-01-02,61.790001,62.169998,61.689999,62.169998,60.411888,3203100
2020-01-03,61.060001,61.299999,60.900002,60.910000,59.187523,2362600
2020-01-06,60.310001,60.810001,60.270000,60.689999,58.973740,2142500
2020-01-07,61.189999,61.340000,61.070000,61.340000,59.605362,3211500
2020-01-08,60.900002,61.779999,60.869999,61.380001,59.644230,3505400
2020-01-09,62.150002,62.209999,61.840000,61.959999,60.207829,4220200
2020-01-10,62.630001,62.830002,62.490002,62.689999,60.917183,3902200
2020-01-13,63.389999,64.099998,63.320000,64.089996,62.277588,4237200
2020-01-14,63.720001,63.900002,63.520000,63.880001,62.073532,3809100
2020-01-15,63.450001,63.580002,63.070000,63.169998,61.383610,4634700
2020-01-16,63.910000,64.169998,63.830002,63.939999,62.131832,2344200
