Commodity;PALLFNF;PEXGALL;PNFUEL;PFANDB;PFOOD;PBEVE;PINDU;PAGRI;PRAWM;PALLMETA;PMETA;PPMETA;PEXGMETA;PFERT;PNRG;POILAPSP;PNGAS;PCOAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;cpi;cpi_excl_gold;non_fuel_price;food;food2;beverage;industrial_inputs;agriculture;agriculture_raw;all_metals;base_metals;precious_metals;all_metals_excl_gold;fertilizer;fuel;crude_oil;natural_gas;coal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-10;110.62;105.91;122.56;103.79;105.35;85.39;137.76;103.82;103.98;153.18;151.18;155.12;153.96;96.56;93.34;91.57;93.41;87.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11;115.14;111.28;125.48;106.79;108.41;87.63;144.38;107.13;109.40;155.41;158.29;152.63;160.37;100.67;100.19;96.88;102.12;98.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-12;125.54;122.92;130.18;107.93;109.50;89.32;159.49;107.94;108.05;166.12;179.93;152.77;180.23;103.84;118.82;110.07;130.63;127.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01;137.39;136.02;136.42;114.34;116.42;89.79;167.37;113.93;111.17;171.69;189.71;154.27;189.60;122.44;138.81;120.32;182.88;135.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02;140.57;140.08;138.58;117.39;119.48;92.76;170.25;116.66;111.70;171.87;193.53;150.94;193.73;138.22;143.44;136.26;146.86;133.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03;141.25;141.65;140.27;120.01;122.26;93.37;174.96;119.29;114.47;171.28;199.01;144.48;198.49;149.87;142.66;145.10;110.64;141.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04;145.04;145.48;146.22;126.84;129.75;92.34;181.24;125.20;114.13;177.89;207.91;148.86;207.62;148.74;143.34;142.87;126.15;141.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-05;155.67;156.46;155.95;134.27;137.29;98.57;198.17;132.29;118.89;192.49;229.68;156.54;227.95;148.20;155.27;149.65;152.30;156.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-06;161.72;163.39;154.86;129.29;131.71;100.65;203.75;127.97;119.09;194.96;237.41;153.92;233.77;163.02;171.66;162.28;176.07;183.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07;166.14;168.56;154.45;130.15;132.17;106.24;202.23;127.89;112.61;193.94;237.85;151.49;233.70;163.97;183.05;167.08;209.93;205.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08;163.76;166.12;149.15;130.76;132.40;111.36;183.27;128.11;110.18;179.70;212.33;148.16;209.45;165.37;184.89;157.23;246.06;231.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-09;172.67;176.10;144.30;128.34;129.15;118.78;167.86;125.78;108.46;168.12;191.47;145.54;188.94;195.28;213.71;166.18;345.33;260.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-10;192.39;198.05;147.46;130.51;131.14;123.06;172.16;128.24;112.83;170.06;195.74;145.24;192.49;225.75;257.37;188.48;458.47;338.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-11;183.84;188.14;146.84;131.91;132.36;126.61;161.53;129.90;116.29;163.82;179.51;148.66;178.39;250.89;237.35;184.64;418.74;235.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-12;186.94;191.89;149.33;134.68;135.13;129.34;168.62;132.05;114.32;166.99;190.20;144.55;186.29;251.17;241.34;169.41;506.70;236.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-01;190.90;196.03;155.05;138.96;139.82;128.79;182.85;136.22;117.71;177.86;208.74;148.00;203.99;223.69;242.76;194.55;392.14;298.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
