bitcoin_close;bitcoin_open;bitcoin_max;bitcoin_min;bitcoin_volume;date
7,399.2;7,204.6;7,476.3;7,184.0;780.78K;05/12/2019
7,530.8;7,399.2;7,552.1;7,329.8;706.10K;06/12/2019
7,510.9;7,530.4;7,595.7;7,489.6;557.14K;07/12/2019
7,524.4;7,510.8;7,576.4;7,416.7;499.04K;08/12/2019
7,355.8;7,524.8;7,626.0;7,321.6;648.66K;09/12/2019
7,235.7;7,356.2;7,400.3;7,192.1;609.50K;10/12/2019
7,208.0;7,235.8;7,284.4;7,168.8;518.40K;11/12/2019
7,208.0;7,208.0;7,272.4;7,124.6;611.80K;12/12/2019
7,255.2;7,208.4;7,288.0;7,200.3;503.49K;13/12/2019
7,080.8;7,255.2;7,267.4;7,043.3;524.56K;14/12/2019
7,128.5;7,080.8;7,175.8;7,033.8;492.58K;15/12/2019
6,903.5;7,128.5;7,153.1;6,864.6;689.56K;16/12/2019
6,613.3;6,903.5;6,943.5;6,575.0;894.55K;17/12/2019
7,276.0;6,613.5;7,387.7;6,462.2;1.14M;18/12/2019
7,165.5;7,276.4;7,354.0;7,039.3;778.72K;19/12/2019
7,196.4;7,165.5;7,218.4;7,107.7;627.04K;20/12/2019
7,156.2;7,196.4;7,197.6;7,129.6;468.74K;21/12/2019
7,495.8;7,156.3;7,501.1;7,142.0;677.94K;22/12/2019
7,322.8;7,496.2;7,684.0;7,276.2;952.16K;23/12/2019
7,268.3;7,322.4;7,433.2;7,185.7;785.54K;24/12/2019
7,224.8;7,268.3;7,542.4;7,150.9;625.41K;25/12/2019
7,210.9;7,225.0;7,414.3;7,177.3;795.09K;26/12/2019
7,261.7;7,210.8;7,293.8;7,128.5;718.07K;27/12/2019
7,321.5;7,261.9;7,375.9;7,256.5;610.96K;28/12/2019
7,397.5;7,321.6;7,518.9;7,303.0;611.69K;29/12/2019
7,261.8;7,397.5;7,420.9;7,244.1;606.11K;30/12/2019
7,196.4;7,261.5;7,331.0;7,167.4;586.60K;31/12/2019
7,199.8;7,196.4;7,259.4;7,180.0;420.28K;01/01/2020
6,967.0;7,199.7;7,209.6;6,901.4;632.78K;02/01/2020
7,343.1;6,967.1;7,402.9;6,884.1;936.29K;03/01/2020
7,376.8;7,345.1;7,433.1;7,291.4;523.91K;04/01/2020
7,372.5;7,376.8;7,501.0;7,345.6;628.14K;05/01/2020
7,759.1;7,372.6;7,783.1;7,366.7;786.75K;06/01/2020
8,155.7;7,759.1;8,182.0;7,754.1;1.01M;07/01/2020
8,059.6;8,154.2;8,436.4;7,900.8;1.19M;08/01/2020
7,842.4;8,060.0;8,065.9;7,779.2;786.50K;09/01/2020
8,187.1;7,842.5;8,187.4;7,697.7;1.05M;10/01/2020
8,024.1;8,187.8;8,262.9;8,008.4;776.75K;11/01/2020
8,187.6;8,023.3;8,189.9;7,973.1;595.22K;12/01/2020
8,111.4;8,188.3;8,196.7;8,068.4;610.66K;13/01/2020
8,829.2;8,111.2;8,898.7;8,111.2;1.48M;14/01/2020
8,818.3;8,827.9;8,904.0;8,615.5;1.17M;15/01/2020
8,726.9;8,818.1;8,850.0;8,605.8;748.32K;16/01/2020
8,913.1;8,726.7;9,005.1;8,675.9;794.11K;17/01/2020
8,916.3;8,913.0;8,982.3;8,814.6;627.74K;18/01/2020
